Tld,Currency,Register,Transfer,Renew,Restore,Trustee,Backorder
tools,USD,11.99,34.99,34.99,124.9,-,-
blue,USD,18.99,23.74,23.74,109.9,-,-
cleaning,USD,64.99,64.99,64.99,184.9,-,-
gripe,USD,33,33,33,124.9,-,-
repair,USD,9.09,34.99,34.99,129.9,-,-
uno,USD,25.99,25.99,25.99,109.9,-,-
rich,USD,2550,2550,2550,4940,-,-
run,USD,4.99,26.24,26.24,114.9,-,-
school,USD,6.99,34.99,34.99,129.9,-,-
shopping,USD,9.99,29.9,29.9,124.9,-,-
sucks,USD,328.65,328.26,328.65,414.73,-,-
swiss,USD,597.7,186.82,597.7,333.34,-,-
team,USD,6.99,34.99,34.99,124.9,-,-
vip,USD,19.49,19.49,19.49,119.9,-,-
fan,USD,7.5,52.49,52.49,149.9,-,-
gold,USD,6.99,99.99,99.99,229.9,-,-
news,USD,11.49,31.24,31.24,119.9,-,-
plus,USD,15.49,52.49,52.49,129.9,-,-
apartments,USD,12.5,54.99,54.99,159.9,-,-
art,USD,4.99,32.51,32.51,119.9,-,-
bet,USD,11.69,24.99,24.99,114.9,-,-
business,USD,3.99,18.74,18.74,99.9,-,-
cam,USD,15,33.5,33.5,129.9,-,-
casino,USD,15.99,156.24,156.24,299.9,-,-
chat,USD,9.99,43.74,43.74,129.9,-,-
claims,USD,12.5,62.49,62.49,169.9,-,-
coach,USD,12.52,74.99,74.99,164.9,-,-
college,USD,18.75,62.5,62.5,199.9,-,-
coupons,USD,7.99,53.4,53.4,154.9,-,-
cymru,USD,17.05,16.96,17.05,44.16,-,-
doctor,USD,12.52,112.49,112.49,239.9,-,-
dog,USD,6.99,62.49,62.49,159.9,-,-
domains,USD,12.5,41.24,41.24,134.9,-,-
earth,USD,24.99,24.99,24.99,176,-,-
energy,USD,13.99,112.49,112.49,229.9,-,-
cafe,USD,6.99,49.99,49.99,134.9,-,-
bingo,USD,9.99,51.27,51.27,154.9,-,-
family,USD,12.5,37.49,37.49,124.9,-,-
irish,USD,6.99,21.24,21.24,109.9,-,-
car,USD,2500,2500,2500,4099.9,-,-
broker,USD,12.5,34.99,34.99,124.9,-,-
auto,TRY,2500,2500,2500,4099.9,-,-
amsterdam,USD,48.64,48.64,48.64,283.04,-,-
group,USD,9.51,24.99,24.99,109.9,-,-
win,USD,29.99,29.99,29.99,94.9,-,-
store,USD,1.99,52.49,52.49,279.9,-,-
review,USD,29.99,29.99,29.99,119.9,-,-
racing,USD,29.99,29.99,29.99,119.9,-,-
promo,USD,12.5,23.74,23.74,109.9,-,-
poker,USD,14.99,64.99,64.99,164.9,-,-
men,USD,29.99,29.99,29.99,119.9,-,-
loan,USD,29.99,29.99,29.99,119.9,-,-
green,USD,7.99,77.49,77.49,184.9,-,-
faith,USD,6.47,9.19,9.19,119.9,-,-
date,USD,29.99,29.99,29.99,119.9,-,-
accountant,USD,25.99,25.99,25.99,94.9,-,-
lol,USD,1.99,30.99,30.99,144.9,-,-
tech,USD,3.99,61.24,61.24,199.9,-,-
top,USD,1.99,7.01,7.01,69,-,-
cars,USD,2500,2500,2500,4099.9,-,-
